switch/name,switch/url,switch/price,switch/description
Tecsee Metal Coated Linear Switches,https://kbdfans.com/collections/switches/products/tecsee-metal-coated-switches,$56.00,"Specs Sold as one pack, 1 pack = 35 switches Laser switch Linear Aluminum Coated over Polycarbonate (PC) Housings UHMWPE Stem 63.5g Double Gold-Plated Springs 5-pins PCB Mounted Golden switch Linear Aluminum Coated over Polycarbonate (PC) Housings UHMWPE Stem 63.5g Double Gold-Plated Springs 5-pins PCB Mounted"
Tecsee Sapphire/ Ruby Switches,https://kbdfans.com/collections/switches/products/tecsee-sapphire-and-ruby-switches,$4.30,"Specs Sold as one pack, 1 pack = 10 switches Sapphire PC mix housing Tactile 5-pin PCB mounted Tactile POM long stem 2mm pre-travel, 3mm total travel 63.5g gold-plated progressive spring Very lightly factory lubed Ruby PC mix housing linear 5-pin PCB mounted POM linear long-pole stem 3.5mm travel 63.5g gold-plated progressive spring Very lightly factory lubed"
GATERON CAPS V2 Brown/ Milky Tactile SWITCHES,https://kbdfans.com/collections/switches/products/gateron-caps-v2-switches-3-pins-10-switches,$2.50,Specs Tactile switches Light factory lube 1 Pack= 10 switches Operating force: 55g Pre-travel: 2.0 mm Total travel: 4.0 mm Plate mount Spring: Brown (Gold-plated); Milky (Silver-plated) 3 pins MX stem
Gateron Pro White One-stage/Two-stage Linear Switches,https://kbdfans.com/collections/switches/products/gateron-pro-white-linear-3-pin-switch-35-pcs,$11.80,SPECIFICATION： Linear 3 pins Operating force 38g Bottom-out 45g 2.0±0.6 mm pre-travel 4.0±0.4 mm total travel Plate mount 3pin MX stem
KBDfans Pre-lubed Switches,https://kbdfans.com/collections/switches/products/pre-lubed-switches,$8.00,"It is sold as one pack of x10 switches, lubed by KBDfans Q: Which kind of lube we use?A: Krytox GPL105: lube the spring. Krytox AUT2045+GPL105 Mix（7:3): lube the switches and stabilizers. Q: Which parts we lube? Spring: overall lubrication Stem: around the stem Stem legs Q: The disclaimer for our lube serviceA: In general, the switch lube service can reduce the switch noise and improve the smoothness. However, regarding the type feeling and sound, we could not satisfy every customer. Q: Shipping time?A: need to wait 7-10 days before shipping"
Gateron Pro Silver Pre-lubed Linear Switches,https://kbdfans.com/collections/switches/products/gateron-pro-silver-switch-3pin,$2.80,Specs Linear 3 pins Two-stage switch springs Actuation：35 gf Bottom-out: 45±5 gf Pre-travel：1.2±0.3 mm Total travel：3.4-0.4 mm Lifetime: 80 million Sound Test
Gateron Pro Pre-lubed Red/Yellow Linear Switches,https://kbdfans.com/collections/switches/products/gateron-pre-lubed-switches-10-pcs,$2.50,Specs Red Linear 45 cN operating force 2.0 mm pre-travel 4.0 mm total travel Plate mount 3pin MX stem Yellow Linear 50 cN operating force 2.0 mm pre-travel 4.0 mm total travel Plate mount 3pin MX stem
GATERON Silver Blizzard Tactile Switches,https://kbdfans.com/collections/switches/products/gateron-ks035-silver-switches-10-pcs,$5.50,SPECIFICATION： Tactile 5 pins Ks035 Actuation：60gf Pre-travel：2.0mm Total travel：3.4 mm Yellow-Gold-plated spring PCB mount 5pin MX stem
Kailh Polia Tactile Switches,https://kbdfans.com/collections/switches/products/kailh-polia-switches,$6.00,Specs: 1 pack = 10 pcs Type Tactile Travel Distance 1.9mm Actuation | 3.8mm Bottom Force 60g Operating | 67g Bottom Manufacturer Kailh Mount Plate Specs Sheet
Novelkeys x Kailh Box Cream Linear Switches,https://kbdfans.com/collections/switches/products/novelkeys-x-kailh-box-cream-swicthes,$7.00,"NovelKeys Box Cream switches are a new linear switch created in the likeness of cream switches, but features the unique BOX housing. The switches are sold in packs of 10. Quantity 1 = 10 switches Specs: Type Linear Travel Distance 2mm Actuation | 4mm Bottom Force 45g Operating | 55g Bottom Manufacturer Kailh Mount PCB"
